text,label
I love this movie!,1
This is bad,0
I hate everything,0
This is amazing,1
Absolutely fantastic!,1
Worst experience ever,0
I really enjoyed this,1
I’m so disappointed,0
Brilliant work,1
Terrible story,0
Loved every moment,1
I regret watching this,0
So good!,1
So boring,0
Incredible acting,1
Completely awful,0
I’m impressed,1
This was painful to watch,0
Outstanding performance,1
It made me angry,0
I feel happy after watching,1
I feel sad now,0
Beautifully done,1
Disgusting and messy,0
Super fun!,1
I wish I hadn’t seen it,0
Enjoyed it a lot,1
Not worth it,0
Marvelous experience,1
Utterly horrible,0
Would watch again,1
Never again,0
It’s wonderful,1
It’s terrible,0
Highly recommended,1
Strongly disliked it,0
So inspiring!,1
So disappointing,0
Really good,1
Really bad,0
Fantastic visuals,1
Poor dialogue,0
Amazing sound design,1
Awful direction,0
Loved the characters,1
Hated the ending,0
Truly enjoyable,1
Truly horrible,0
Heartwarming story,1
Heartbreaking mess,0
A masterpiece!,1
Complete failure,0
Made me smile,1
Made me cringe,0
Emotionally rich,1
Emotionally empty,0
Fun and creative,1
Dull and repetitive,0
I’m thrilled!,1
I’m annoyed,0
Simply excellent,1
Simply terrible,0
Best film ever,1
Worst film ever,0
Perfectly executed,1
Completely broken,0
Feels refreshing,1
Feels depressing,0
Pure joy,1
Pure nonsense,0
Superb quality,1
Horrible quality,0
Made me laugh,1
Made me yawn,0
Top-notch writing,1
Bottom-tier writing,0
Lovely story,1
Ridiculous story,0
Worth watching,1
Not worth watching,0
Enjoyable experience,1
Painful experience,0
Brilliantly made,1
Poorly made,0
Clever idea,1
Stupid idea,0
Absolutely loved it,1
Absolutely hated it,0
Wonderful job,1
Terrible job,0
I’m amazed!,1
I’m disgusted!,0
Exceeded my expectations,1
Didn’t meet expectations,0
Positive vibes,1
Negative vibes,0
Pure entertainment,1
Total waste of time,0
I’m very happy,1
I’m very upset,0
Spectacular movie!,1
Disaster of a movie,0
